 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
2 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
3 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
4 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
5 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
6 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
7 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
8 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
9 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
10 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
11 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
12 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
13 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
14 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
15 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
16 Result (1->win; 0->lose):1, Score:2.0, timesteps:110
17 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
18 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
19 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
20 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
21 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
22 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
24 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
25 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
26 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
27 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
28 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
29 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
30 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
31 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
32 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
34 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
35 Result (1->win; 0->lose):1, Score:2.0, timesteps:120
36 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
37 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
38 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
39 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
40 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
43 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
46 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
47 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
49 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
50 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
51 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
52 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
53 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
54 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
55 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
56 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
58 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
59 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
61 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
62 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
63 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
64 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
65 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
